ZTRD,9 Z Z Z,30026783,112,656,3248,1921,2028,2447,4112,1755,1684,660,3374,340,196,4448,1780,1637,166,3416,1640,859,3476,104,2136,1640
ZTRD,9 Z Z Z,30026789,112,756,11508,1021,32,8,136,20744,812,780,1672,340,212,1744,2180,725,10167,1636,822,983,1792,104,1336,742
ZTRD,9 Z Z Z,30030676,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZTRD,9 Z Z Z,30030867,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ZTRD,9 Z Z Z,30032431,13,14,4,1,4,6,21,5,11,0,6,31,40,4,18,14,3,21,5,1,25,6,3,32
ZTRD,9 Z Z Z,30037746,15,16,5,41,24,40,45,18,78,23,49,121,122,32,20,45,20,53,45,8,60,65,66,42
ZTRD,9 Z Z Z,30037889,5,215,95,1,7,0,1,7,1,81,2,20,16,10,5,3,101,13,4,4,3,7,103,8
ZTRD,9 Z Z Z,30037920,15,16,24,10,42,12,53,38,19,42,81,76,145,32,37,36,20,44,118,8,30,125,26,39
ZTRD,9 Z Z Z,30038359,5,5,0,1,7,0,1,7,1,6,2,20,16,10,5,3,1,13,104,4,3,7,3,8
ZTRD,9 Z Z Z,30038557,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZTRD,9 Z Z Z,30038564,270,289,76,187,397,228,244,1883,358,400,1993,624,2806,578,308,295,377,2017,311,140,561,454,2085,2397
ZTRD,9 Z Z Z,30038871,23,20,19,4,29,12,12,8,6,21,24,26,35,7,24,17,10,15,13,6,28,17,14,39
ZTRD,9 Z Z Z,30038966,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ZTRD,9 Z Z Z,30038968,294,90,46,188,154,102,170,42,252,106,198,290,502,58,176,94,208,176,230,40,204,200,98,484
ZTRD,9 Z Z Z,30038977,128,60,245,40,156,114,262,78,80,67,139,194,395,136,273,280,162,354,94,34,189,234,226,104
ZTRD,9 Z Z Z,30039003,31,48,41,33,17,46,88,9,31,5,7,75,26,8,88,43,12,41,10,2,85,23,60,100
ZTRD,9 Z Z Z,30039085,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZTRD,9 Z Z Z,30039086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZTRD,9 Z Z Z,30039317,5,5,0,1,7,0,1,7,1,6,2,36,20,10,5,3,1,13,4,4,3,7,3,8
ZTRD,9 Z Z Z,30039319,15,16,24,10,22,32,53,16,47,42,21,126,106,52,17,16,40,64,17,28,130,25,26,79
